Cantidad,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Promedio Tiempo,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Promedio Iteración
1980000,0.0,0.0,0.0,0.0,0.0,0.0,6100,6112,6124,6137,6150,6124,
1990000,0.0,0.0,0.0,0.0,0.0,0.0,6161,6174,6188,6199,6213,6187,
2000000,0.0,0.0,0.0,0.0,0.0,0.0,6225,6239,6252,6264,6272,6250,
2010000,0.0,0.0,0.0,0.0,0.0,0.0,6285,6298,6310,6320,6334,6309,
2020000,0.0,0.0,0.0,0.0,0.0,0.0,6342,6353,6365,6373,6387,6364,
2030000,0.0,0.0,0.0,0.0,0.0,0.0,6400,6413,6425,6438,6449,6425,
2040000,0.0,0.0,0.0,0.0,0.0,0.0,6462,6474,6488,6501,6514,6487,
2050000,0.0,0.0,0.0,0.0,0.0,0.0,6525,6539,6551,6563,6577,6551,
2060000,0.0,0.0,0.0,0.0,0.0,0.0,6589,6599,6612,6625,6639,6612,
2070000,0.0,0.0,0.0,0.0,0.0,0.0,6652,6666,6675,6687,6698,6675,
2080000,0.0,0.0,0.0,0.0,0.0,0.0,6711,6724,6736,6750,6762,6736,
2090000,0.0,0.0,0.0,0.0,0.0,0.0,6775,6785,6798,6812,6825,6799,
2100000,0.0,0.0,0.0,0.0,0.0,0.0,6839,6853,6867,6880,6893,6866,
2110000,0.0,0.0,0.0,0.0,0.0,0.0,6907,6920,6932,6944,6955,6931,
2120000,0.0,0.0,0.0,0.0,0.0,0.0,6966,6979,6992,7004,7014,6991,
2130000,0.0,0.0,0.0,0.0,0.0,0.0,7028,7041,7055,7067,7078,7053,
2140000,0.0,0.0,0.0,0.0,0.0,0.0,7089,7101,7112,7122,7134,7111,
2150000,0.0,0.0,0.0,0.0,0.0,0.0,7147,7158,7168,7181,7193,7169,
2160000,0.0,0.0,0.0,0.0,0.0,0.0,7206,7219,7232,7245,7251,7230,
2170000,0.0,0.0,0.0,0.0,0.0,0.0,7264,7276,7289,7302,7315,7289,
2180000,0.0,0.0,0.0,0.0,0.0,0.0,7323,7335,7349,7363,7376,7349,
2190000,0.0,0.0,0.0,0.0,0.0,0.0,7390,7404,7418,7432,7444,7417,
2200000,0.0,0.0,0.0,0.0,0.0,0.0,7456,7468,7480,7493,7507,7480,
2210000,0.0,0.0,0.0,0.0,0.0,0.0,7521,7531,7543,7555,7566,7543,
2220000,0.0,0.0,0.0,0.0,0.0,0.0,7579,7592,7605,7616,7628,7604,
2230000,0.0,0.0,0.0,0.0,0.0,0.0,7641,7652,7666,7677,7690,7665,
2240000,0.0,0.0,0.0,0.0,0.0,0.0,7702,7716,7729,7740,7753,7728,
2250000,0.0,0.0,0.0,0.0,0.0,0.0,7758,7772,7782,7796,7810,7783,
2260000,0.0,0.0,0.0,0.0,0.0,0.0,7820,7834,7847,7859,7872,7846,
2270000,0.0,0.0,0.0,0.0,0.0,0.0,7884,7894,7907,7920,7934,7907,
2280000,0.0,0.0,0.0,0.0,0.0,0.0,7946,7959,7972,7984,7995,7971,
2290000,0.0,0.0,0.0,0.0,0.0,0.0,8009,8022,8035,8045,8058,8033,
2300000,0.0,0.0,0.0,0.0,0.0,0.0,8070,8078,8090,8103,8110,8090,
2310000,0.0,0.0,0.0,0.0,0.0,0.0,8123,8136,8149,8163,8176,8149,
2320000,0.0,0.0,0.0,0.0,0.0,0.0,8190,8202,8215,8228,8241,8215,
2330000,0.0,0.0,0.0,0.0,0.0,0.0,8255,8268,8281,8294,8308,8281,
2340000,0.0,0.0,0.0,0.0,0.0,0.0,8320,8331,8344,8357,8370,8344,
2350000,0.0,0.0,0.0,0.0,0.0,0.0,8383,8397,8407,8420,8431,8407,
2360000,0.0,0.0,0.0,0.0,0.0,0.0,8445,8458,8472,8485,8497,8471,
2370000,0.0,0.0,0.0,0.0,0.0,0.0,8511,8524,8537,8551,8560,8536,
2380000,0.0,0.0,0.0,0.0,0.0,0.0,8573,8585,8596,8608,8618,8596,
2390000,0.0,0.0,0.0,0.0,0.001,2.0E-4,8630,8641,8652,8665,8678,8653,
2400000,0.0,0.0,0.0,0.0,0.0,0.0,8692,8703,8715,8728,8738,8715,
2410000,0.0,0.0,0.0,0.0,0.0,0.0,8752,8765,8778,8791,8805,8778,
2420000,0.0,0.0,0.0,0.0,0.0,0.0,8818,8830,8844,8857,8868,8843,
2430000,0.0,0.0,0.0,0.0,0.0,0.0,8881,8894,8906,8918,8930,8905,
2440000,0.0,0.0,0.0,0.0,0.0,0.0,8943,8952,8960,8974,8987,8963,
2450000,0.0,0.0,0.0,0.0,0.0,0.0,8998,9011,9025,9038,9051,9024,
2460000,0.0,0.0,0.0,0.0,0.0,0.0,9065,9074,9087,9095,9109,9086,
2470000,0.0,0.0,0.0,0.0,0.0,0.0,9119,9133,9144,9158,9171,9145,
2480000,0.0,0.0,0.0,0.0,0.0,0.0,9183,9193,9206,9219,9229,9206,
2490000,0.0,0.0,0.0,0.0,0.0,0.0,9242,9254,9267,9277,9290,9266,
2500000,0.0,0.0,0.0,0.0,0.0,0.0,9302,9315,9327,9338,9352,9326,
2510000,0.0,0.0,0.0,0.0,0.0,0.0,9365,9379,9391,9403,9415,9390,
2520000,0.0,0.0,0.0,0.0,0.0,0.0,9428,9442,9455,9468,9481,9454,
2530000,0.0,0.0,0.0,0.0,0.0,0.0,9492,9505,9518,9530,9540,9517,
2540000,0.0,0.0,0.0,0.0,0.0,0.0,9553,9563,9576,9589,9602,9576,
2550000,0.0,0.0,0.0,0.0,0.0,0.0,9615,9628,9641,9652,9664,9640,
2560000,0.0,0.0,0.0,0.0,0.0,0.0,9678,9692,9704,9718,9730,9704,
2570000,0.0,0.0,0.0,0.0,0.0,0.0,9742,9754,9767,9778,9791,9766,
2580000,0.0,0.0,0.0,0.0,0.0,0.0,9803,9813,9825,9838,9852,9826,
2590000,0.0,0.0,0.0,0.0,0.0,0.0,9864,9877,9890,9903,9914,9889,
2600000,0.0,0.0,0.0,0.0,0.0,0.0,9926,9937,9946,9958,9969,9947,
2610000,0.0,0.0,0.0,0.0,0.0,0.0,9983,9996,10009,10021,10035,10008,
2620000,0.0,0.0,0.0,0.0,0.0,0.0,10043,10056,10068,10082,10095,10068,
2630000,0.0,0.0,0.0,0.0,0.0,0.0,10105,10117,10130,10143,10157,10130,
2640000,0.0,0.0,0.0,0.0,0.0,0.0,10170,10184,10196,10209,10220,10195,
2650000,0.0,0.0,0.0,0.0,0.0,0.0,10232,10246,10259,10272,10280,10257,
2660000,0.0,0.0,0.0,0.0,0.0,0.0,10294,10307,10318,10332,10346,10319,
2670000,0.0,0.0,0.0,0.0,0.0,0.0,10358,10372,10384,10393,10406,10382,
2680000,0.0,0.0,0.0,0.0,0.0,0.0,10419,10431,10442,10454,10465,10442,
2690000,0.0,0.0,0.0,0.0,0.0,0.0,10478,10488,10501,10514,10525,10501,
2700000,0.0,0.0,0.0,0.0,0.0,0.0,10538,10549,10561,10574,10587,10561,
2710000,0.0,0.0,0.0,0.0,0.0,0.0,10601,10612,10625,10638,10651,10625,
2720000,0.0,0.0,0.0,0.0,0.0,0.0,10665,10678,10684,10697,10710,10686,
2730000,0.0,0.0,0.0,0.0,0.0,0.0,10720,10730,10744,10756,10769,10743,
2740000,0.0,0.0,0.0,0.0,0.0,0.0,10781,10791,10804,10817,10829,10804,
2750000,0.0,0.0,0.0,0.0,0.0,0.0,10843,10855,10868,10880,10893,10867,
2760000,0.0,0.0,0.0,0.0,0.0,0.0,10904,10917,10930,10940,10951,10928,
2770000,0.0,0.0,0.0,0.0,0.0,0.0,10965,10977,10989,11001,11015,10989,
2780000,0.0,0.0,0.0,0.0,0.0,0.0,11028,11041,11052,11063,11076,11052,
2790000,0.0,0.0,0.0,0.0,0.0,0.0,11090,11102,11115,11126,11139,11114,
2800000,0.0,0.0,0.0,0.0,0.0,0.0,11152,11164,11176,11188,11201,11176,
2810000,0.0,0.0,0.0,0.0,0.0,0.0,11214,11228,11242,11253,11265,11240,
2820000,0.0,0.0,0.0,0.0,0.0,0.0,11279,11291,11304,11317,11330,11304,
2830000,0.0,0.0,0.0,0.0,0.0,0.0,11343,11357,11369,11381,11393,11368,
2840000,0.0,0.0,0.0,0.0,0.0,0.0,11406,11417,11430,11437,11450,11428,
2850000,0.0,0.0,0.0,0.0,0.0,0.0,11463,11476,11489,11503,11515,11489,
2860000,0.0,0.0,0.0,0.0,0.0,0.0,11527,11537,11551,11557,11570,11548,
2870000,0.0,0.0,0.0,0.0,0.0,0.0,11584,11595,11606,11620,11633,11607,
2880000,0.0,0.0,0.0,0.0,0.0,0.0,11647,11659,11669,11681,11694,11670,
2890000,0.0,0.0,0.0,0.0,0.0,0.0,11707,11718,11729,11741,11754,11729,
2900000,0.0,0.0,0.0,0.0,0.0,0.0,11767,11777,11790,11803,11817,11790,
2910000,0.0,0.0,0.0,0.0,0.0,0.0,11831,11844,11857,11868,11879,11855,
2920000,0.0,0.0,0.0,0.0,0.0,0.0,11890,11903,11916,11925,11938,11914,
2930000,0.0,0.0,0.0,0.0,0.0,0.0,11951,11963,11976,11988,12001,11975,
2940000,0.0,0.0,0.0,0.0,0.0,0.0,12012,12025,12038,12050,12064,12037,
2950000,0.0,0.0,0.0,0.0,0.0,0.0,12078,12091,12105,12119,12131,12104,
2960000,0.0,0.0,0.0,0.0,0.0,0.0,12143,12156,12169,12182,12195,12169,
2970000,0.0,0.0,0.0,0.0,0.0,0.0,12204,12216,12229,12240,12250,12227,
2980000,0.0,0.0,0.0,0.0,0.0,0.0,12261,12274,12283,12295,12308,12284,
2990000,0.0,0.0,0.0,0.0,0.0,0.0,12320,12333,12347,12358,12371,12345,
3000000,0.0,0.0,0.0,0.0,0.0,0.0,12385,12397,12407,12420,12434,12408,
3010000,0.0,0.0,0.0,0.0,0.0,0.0,12445,12458,12471,12485,12497,12471,
3020000,0.0,0.0,0.0,0.0,0.0,0.0,12509,12521,12535,12545,12558,12533,
3030000,0.0,0.0,0.0,0.0,0.0,0.0,12570,12582,12595,12609,12620,12595,
3040000,0.0,0.0,0.0,0.0,0.0,0.0,12633,12647,12659,12673,12687,12659,
3050000,0.0,0.0,0.0,0.0,0.0,0.0,12700,12713,12722,12734,12746,12723,
3060000,0.0,0.0,0.0,0.0,0.0,0.0,12757,12771,12784,12797,12808,12783,
3070000,0.0,0.0,0.0,0.0,0.0,0.0,12820,12830,12836,12847,12858,12838,
3080000,0.0,0.0,0.0,0.0,0.0,0.0,12869,12882,12895,12908,12921,12895,
3090000,0.0,0.0,0.0,0.0,0.0,0.0,12934,12944,12958,12971,12981,12957,
3100000,0.0,0.0,0.0,0.0,0.0,0.0,12995,13004,13017,13030,13043,13017,
3110000,0.0,0.0,0.0,0.0,0.0,0.0,13056,13069,13082,13095,13108,13082,
3120000,0.0,0.0,0.0,0.0,0.0,0.0,13120,13133,13144,13157,13170,13144,
3130000,0.0,0.0,0.0,0.0,0.0,0.0,13183,13197,13210,13223,13234,13209,
3140000,0.0,0.0,0.0,0.0,0.0,0.0,13247,13260,13272,13284,13295,13271,
3150000,0.0,0.0,0.0,0.0,0.0,0.0,13308,13321,13334,13348,13361,13334,
3160000,0.0,0.0,0.0,0.0,0.0,0.0,13374,13387,13397,13410,13422,13398,
3170000,0.0,0.0,0.0,0.0,0.0,0.0,13434,13447,13460,13473,13486,13460,
3180000,0.0,0.0,0.0,0.0,0.0,0.0,13499,13512,13525,13536,13548,13524,
3190000,0.0,0.0,0.0,0.0,0.0,0.0,13561,13574,13587,13597,13610,13585,
3200000,0.0,0.0,0.0,0.0,0.0,0.0,13620,13634,13647,13660,13673,13646,
3210000,0.0,0.0,0.0,0.0,0.0,0.0,13686,13698,13712,13724,13737,13711,
3220000,0.0,0.0,0.0,0.0,0.0,0.0,13749,13761,13775,13789,13802,13775,
3230000,0.0,0.0,0.0,0.0,0.0,0.0,13816,13829,13840,13852,13863,13840,
3240000,0.0,0.0,0.0,0.0,0.0,0.0,13876,13889,13902,13915,13928,13902,
3250000,0.0,0.0,0.0,0.0,0.0,0.0,13941,13954,13968,13981,13993,13967,
3260000,0.0,0.0,0.0,0.0,0.0,0.0,14006,14019,14032,14043,14057,14031,
3270000,0.0,0.0,0.0,0.0,0.0,0.0,14070,14080,14093,14105,14117,14093,
3280000,0.0,0.0,0.0,0.0,0.0,0.0,14130,14143,14156,14169,14182,14156,
3290000,0.0,0.0,0.0,0.0,0.0,0.0,14192,14204,14217,14228,14239,14216,
3300000,0.0,0.0,0.0,0.0,0.001,2.0E-4,14253,14265,14274,14287,14299,14275,
3310000,0.0,0.0,0.0,0.0,0.0,0.0,14313,14325,14336,14349,14362,14337,
3320000,0.0,0.0,0.0,0.0,0.0,0.0,14375,14389,14400,14412,14423,14399,
3330000,0.0,0.0,0.0,0.0,0.0,0.0,14437,14447,14460,14473,14486,14460,
3340000,0.0,0.0,0.0,0.0,0.0,0.0,14500,14514,14527,14536,14548,14525,
3350000,0.0,0.0,0.0,0.0,0.0,0.0,14561,14571,14579,14593,14606,14582,
3360000,0.0,0.0,0.0,0.0,0.0,0.0,14617,14630,14643,14657,14670,14643,
3370000,0.0,0.0,0.0,0.0,0.0,0.0,14684,14697,14702,14714,14727,14704,
3380000,0.0,0.0,0.0,0.0,0.0,0.0,14738,14751,14764,14776,14789,14763,
3390000,0.0,0.0,0.0,0.0,0.0,0.0,14802,14814,14827,14840,14854,14827,
3400000,0.0,0.0,0.0,0.0,0.0,0.0,14867,14880,14894,14901,14915,14891,
3410000,0.0,0.0,0.0,0.0,0.0,0.0,14927,14941,14954,14966,14980,14953,
3420000,0.0,0.0,0.0,0.0,0.0,0.0,14993,15006,15019,15032,15040,15018,
3430000,0.0,0.0,0.0,0.0,0.0,0.0,15053,15066,15079,15091,15105,15078,
3440000,0.0,0.0,0.0,0.0,0.0,0.0,15116,15126,15139,15152,15165,15139,
3450000,0.0,0.0,0.0,0.0,0.0,0.0,15176,15186,15199,15213,15223,15199,
3460000,0.0,0.0,0.0,0.0,0.0,0.0,15236,15249,15262,15275,15289,15262,
3470000,0.0,0.0,0.0,0.0,0.0,0.0,15303,15316,15326,15338,15348,15326,
3480000,0.0,0.0,0.0,0.0,0.0,0.0,15361,15373,15384,15397,15410,15385,
3490000,0.0,0.0,0.0,0.0,0.0,0.0,15424,15437,15451,15464,15477,15450,
3500000,0.0,0.0,0.0,0.0,0.0,0.0,15491,15504,15517,15530,15543,15517,
3510000,0.0,0.0,0.0,0.0,0.0,0.0,15557,15569,15580,15591,15601,15579,
3520000,0.0,0.0,0.0,0.0,0.0,0.0,15614,15627,15640,15653,15664,15639,
3530000,0.0,0.0,0.0,0.0,0.0,0.0,15678,15690,15703,15717,15728,15703,
3540000,0.0,0.0,0.0,0.0,0.0,0.0,15740,15752,15765,15777,15787,15764,
3550000,0.0,0.0,0.0,0.0,0.0,0.0,15800,15813,15826,15839,15852,15826,
